OBESITY_zip,LocationName,lat,lng
22.1,1002,42.38,-72.52
27.8,2356,42.06,-71.12
24.4,2648,41.67,-70.42
24.5,1266,42.29,-73.37
26.1,2379,42.02,-71.02
21.7,2472,42.37,-71.18
29.5,3042,43.05,-71.08
22.2,2637,41.7,-70.272
32.7,1108,42.08,-72.56
27.5,2557,41.454,-70.562
30.6,1473,42.56,-71.91
35.5,1607,42.23,-71.79
28.4,1350,42.72,-72.95
31.1,2893,41.7,-71.51
21.7,1773,42.43,-71.32
25.4,1036,42.07,-72.42
30.4,2802,41.92,-71.44
16.1,2357,42.06,-71.08
26.5,1243,42.35,-73
28.5,1349,42.57,-72.49
21.5,2474,42.42,-71.16
27,1330,42.53,-72.81
23.3,2659,41.68,-70.02
22,1770,42.23,-71.37
28.5,1850,42.66,-71.3
24.6,2343,42.14,-71.01
27.7,1355,42.4,-72.3
29.8,1503,42.38,-71.63
22.6,2053,42.16,-71.43
29.2,2886,41.71,-71.46
29.2,1451,42.5,-71.58
28.2,3044,42.99,-71.13
25.1,1431,42.67,-71.84
27.2,2333,42.03,-70.94
25.8,1930,42.63,-70.69
23.3,1801,42.49,-71.16
30.1,1902,42.47,-70.94
35.4,4275,44.7,-70.6
39.3,4417,45.3,-68.3
29,3222,43.6,-71.8
25.6,4573,43.95,-69.56
22.7,3264,43.7,-71.7
31.1,4063,43.5,-70.387
32.6,3082,42.9,-71.77
26.7,4555,44.11,-69.48
35.6,4743,47.2,-68.6
34.5,4923,45.04,-69.43
39.8,4739,47,-68.6
32.2,3109,42.97,-71.41
30.7,3046,43.11,-71.59
32,4287,44.06,-69.97
39.3,4730,46.1,-67.9
34.1,4677,44.49,-68.18
29.9,3816,43.7,-71.3
31.9,3837,43.4,-71.3
30.1,3909,43.16,-70.67
28.8,3827,42.91,-70.97
34.2,4631,44.92,-67.02
34.4,4234,44.63,-70.22
34.3,4416,44.6,-68.7
25.1,4469,44.902,-68.668
27.5,4858,44.04,-69.15
28,3266,43.8,-71.9
32.4,4037,44.1,-70.9
31.9,3447,42.76,-72.15
25.6,4538,43.85,-69.63
20.7,4057,44,-70.8
30.6,3818,44,-71.2
29.3,3229,43.2,-71.7
31.6,3243,43.52,-71.76
32.2,4674,44.31,-68.41
29.8,3820,43.19,-70.89
30.2,3830,43.63,-71
29.7,3217,43.72,-71.63
33.1,4237,44.5,-70.74
34.4,3440,43.06,-71.98
31.9,3906,43.3,-70.8
39.2,4763,46.08,-68.1
32.2,4627,44.2,-68.7
32,4090,43.32,-70.63
29.6,3293,44,-71.6
33.6,4474,44.71,-68.78
30.2,4675,44.3,-68.23
28.3,3847,44.03,-71.09
40,4487,45.3,-68.1
29.5,3585,44.2,-71.9
33.5,4292,44.4,-70.5
32.1,3602,43.1,-72.3
38.3,4667,44.98,-67.11
26.7,3241,43.71,-71.83
32.1,4685,44.2,-68.4
31.9,3237,43.4,-71.4
33,3603,43.2,-72.4
33.1,3281,43.08,-71.72
25.6,4084,43.8,-70.6
29,4645,44.06,-68.63
25,4103,43.69,-70.29
35.7,3103,42.94,-71.44
39.2,4733,45.81,-68.4
34.4,4926,44.48,-69.54
38.5,4736,46.9,-68
33.3,4658,44.5,-67.9
32.2,4083,43.47,-70.82
34.9,4912,45,-69.7
24.2,3750,43.7,-72.18
28.2,4852,43.79,-69.28
23,4017,43.73,-70.13
29.7,4861,44.1,-69.17
30.4,4473,44.88,-68.72
33.4,3743,43.3,-72.3
35.5,3590,44.7,-71.5
29,3254,43.7,-71.4
29.8,4851,43.9,-68.9
35.7,4359,44.2,-69.8
33.5,4628,44.9,-67.4
31.4,4274,44.05,-70.39
31.5,4489,45,-68.7
30.6,3245,43.74,-71.6
28.1,4856,44.17,-69.12
31,4562,43.8,-69.8
36.7,4757,46.7,-68.2
29.5,3262,44,-71.7
29.9,3875,43.88,-71.2
30,3819,42.93,-71.12
38.3,4491,45.57,-67.48
31.8,4093,43.6,-70.5
34.9,3588,44.6,-71.2
28.9,3233,43.43,-71.93
34.2,4624,44.41,-67.98
29.6,3910,43.172,-70.608
33.5,4276,44.5,-70.6
26.7,3857,43.07,-70.95
36.6,4041,43.87,-70.82
29.5,4862,44.3,-69.3
25.4,3784,43.64,-72.3
34.3,4261,44.6,-70.9
26.4,4537,43.9,-69.63
34.4,4693,44.37,-68.09
25.1,4106,43.63,-70.3
25.8,3824,43.12,-70.92
34.8,4929,44.76,-69.32
31.4,3884,43.3,-71.2
37.5,4750,47,-67.9
29.2,3290,43.13,-71.12
27.7,4578,44,-69.7
29.8,4915,44.5,-69.1
40,4774,47.1,-69
31.7,3597,44.995,-71.531
29.8,3849,43.9,-71.11
27.6,3840,43.03,-70.85
36.2,4478,46,-70
32.6,3235,43.45,-71.68
37.5,4479,45.13,-69.31
31.9,3905,43.09,-70.69
38.6,4481,45.24,-69.11
24.1,4050,43.69,-70.15
28.6,4853,44.16,-68.89
34.7,4426,45.2,-69.2
34.9,3060,42.73,-71.46
29.8,3782,43.39,-72.09
23.9,4096,43.79,-70.16
32.4,4253,44.41,-70.22
28.8,3304,43.13,-71.55
31.2,3230,43.5,-71.9
36.7,4454,45.51,-67.51
31.6,3770,43.53,-72.28
34.6,3048,42.75,-71.76
40.1,4459,45.55,-68.32
31.5,3869,43.22,-70.85
29.6,3856,43.04,-70.96
33,3442,43.02,-71.91
37.7,4449,45,-68.88
26.9,4551,44.01,-69.43
30.6,3253,43.6,-71.5
30.6,3224,43.35,-71.55
31.4,4256,44.11,-70.41
27.1,4260,44,-70.3
33.5,4358,44.4,-69.5
28.9,3223,43.9,-71.7
29.5,3273,43.29,-71.88
32.3,3275,43.2,-71.4
34.4,4022,43.98,-70.81
31.8,3448,43.03,-72.25
34.1,3598,44.4,-71.6
40,4768,46.9,-69.2
24.8,4543,44.04,-69.49
30,4222,43.96,-70.13
25.9,4843,44.23,-69.1
34.8,4649,44.57,-67.61
28,3461,42.75,-72.01
33.4,4217,44.4,-70.8
31.6,4579,43.96,-69.77
36.2,3101,42.99,-71.47
35.2,3592,45.1,-71.3
29.9,3838,44.17,-71.23
30.9,3745,43.47,-72.31
31.6,4684,44.5,-68.5
37.3,4227,44.6,-70.4
34.9,4664,44.53,-68.17
34.7,4284,44.34,-70.07
32,3276,43.43,-71.57
34.1,3047,42.93,-71.88
33.9,4087,43.57,-70.74
30.7,3446,42.86,-72.31
37.9,4453,45.2,-68.8
31.1,3825,43.2,-71
35.5,4911,44.8,-70
39,4776,45.9,-68.2
33.4,3263,43.31,-71.31
31,3234,43.22,-71.34
24.5,4021,43.8,-70.27
27,4539,43.9,-69.4
32.1,3773,43.4,-72.2
29.5,3260,43.37,-71.94
29.1,3785,44.1,-71.9
29.9,4040,44.1,-70.7
35.2,4671,45.06,-67.17
